name_english,name_japanese,anime_manga_titles,favorites
"Kuujou, Joutarou",(空条 承太郎),"['JoJo no Kimyou na Bouken: Adventure', 'JoJo no Kimyou na Bouken', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'JoJo no Kimyou na Bouken Part 3: Stardust Crusaders', 'JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai', 'JoJo no Kimyou na Bouken Part 6: Stone Ocean']",25896
"Liebert, Johan",(ヨハン・リーベルト),"['Monster', 'Monster Extra: Hottan', 'Monster']",25813
"Todoroki, Shouto",(轟 焦凍),"['Boku no Hero Academia 2nd Season', ""Boku no Hero Academia the Movie 3: World Heroes' Mission"", ""Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi"", 'Boku no Hero Academia', 'Boku no Hero Academia Smash!']",25564
"Midoriya, Izuku",(緑谷 出久),"['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!', 'Boku no Hero Academia', 'Boku no Hero Academia Smash!', 'Boku no Hero Academia: Yuuei Hakusho']",25550
"Kageyama, Shigeo",(影山 茂夫),"['Mob Psycho 100', 'Mob Psycho 100: Reigen - Shirarezaru Kiseki no Reinouryokusha', 'Mob Psycho Mini', 'Mob Psycho 100', 'Reigen: Reikyuuchi Max 131 no Otoko']",25322
"Kamado, Tanjirou",(竈門 炭治郎),"['Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen', 'Kimetsu no Yaiba', 'Kimetsu no Yaiba: Shiawase no Hana', 'Kimetsu no Yaiba: Kataha no Chou']",25291
"Miyazono, Kaori",(宮園 かをり),"['Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Moments', 'Shigatsu wa Kimi no Uso', 'Shigatsu wa Kimi no Uso: Coda']",24919
"Akemi, Homura",(暁美 ほむら),"['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica: Anthology Comic']",24837
"Toosaka, Rin",(遠坂 凛),"['Fate/stay night', 'Fate/stay night Movie: Unlimited Blade Works', 'Fate/stay night TV Reproduction', 'Fate/stay night', 'Fate/kaleid liner Prisma☆Illya', 'Fate/stay night: Comic Battle']",24538
Frieren,(フリーレン),"['Sousou no Frieren', 'Yuusha', 'Sousou no Frieren: ●● no Mahou', 'Sousou no Frieren', 'Sousou no Frieren Anthology: Kotonaru Tabi wo Tanoshimu Mahou']",24199
Kurapika,(クラピカ),"['Hunter x Hunter', 'Hunter x Hunter: Original Video Animation', 'Hunter x Hunter Pilot', 'Hunter x Hunter', 'Hunter x Hunter: Kurapika Tsuioku-hen']",23790
"Orihara, Izaya",(折原 臨也),"['Durarara!!', 'Durarara!! Specials', 'Durarara!!x2 Shou', 'Durarara!!', 'Durarara!!', 'Durarara!! Comic Anthology: Duralove!!']",23430
"Oreki, Houtarou",(折木 奉太郎),"['Hyouka', 'Hyouka: Motsubeki Mono wa', 'Koten-bu Series', 'Hyouka']",23262
"Tempest, Rimuru",(リムル＝テンペスト),"['Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken OVA', 'Tensei shitara Slime Datta Ken 2nd Season', 'Tensei shitara Slime Datta Ken', 'Tensei shitara Slime Datta Ken', 'Tensura Nikki: Tensei shitara Slime Datta Ken']",23037
"Yukinoshita, Yukino",(雪ノ下 雪乃),"['Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.', 'Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue', 'Yahari 4-koma demo Ore no Seishun Love Comedy wa Machigatteiru.']",22955
"Saiki, Kusuo",(斉木 楠雄),"['Saiki Kusuo no Ψ-nan (ONA)', 'Saiki Kusuo no Ψ-nan', 'Saiki Kusuo no Ψ-nan 2', 'Chounouryokusha Saiki Kusuo no Ψ-nan 0', 'Saiki Kusuo no Ψ-nan']",22797
"Kitagawa, Marin",(喜多川 海夢),"['Sono Bisque Doll wa Koi wo Suru', 'Sono Bisque Doll wa Koi wo Suru (Zoku-hen)', 'Sono Bisque Doll wa Koi wo Suru']",22796
"Bakugou, Katsuki",(爆豪 勝己),"['Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia: Sukue! Kyuujo Kunren!', 'Boku no Hero Academia', 'Boku no Hero Academia: Deku & Bakugou:Rising']",22690
"Dragneel, Natsu",(ナツ・ドラグニル),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Fairy Tail+']",22544
"Michaelis, Sebastian",(セバスチャン・ミカエリス),"['Kuroshitsuji', 'Kuroshitsuji Recap', 'Kuroshitsuji II', 'Kuroshitsuji', 'Kuroshitsuji Anthology Comic: Nijishitsuji']",22452
"Ishigami, Senkuu",(石神 千空),"['Dr. Stone', 'Dr. Stone: Stone Wars', 'Sekikashita Kusanagi', 'Dr. Stone', 'Dr. Stone: Terraforming', 'Dr. Stone: 4D Science']",22247
Revy,(レヴィ),"['Black Lagoon', 'Black Lagoon: The Second Barrage', ""Black Lagoon: Roberta's Blood Trail"", 'Black Lagoon', 'Black Lagoon', 'Black Lagoon: Soujiya Sawyer - Kaitai! Gore Gore Musume']",21977
