name_english,name_japanese,anime_manga_titles,favorites
"Netero, Isaac",(アイザック＝ネテロ),"['Hunter x Hunter Movie 2: The Last Mission', 'Hunter x Hunter', 'Hunter x Hunter: Greed Island Final', 'Hunter x Hunter']",4384
Rebecca,(レベッカ),['Cyberpunk: Edgerunners'],4364
"Donquixote, Doflamingo",(ドンキホーテ・ドフラミンゴ),"['One Piece', 'One Piece Film: Strong World Episode 0', 'One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi', 'One Piece', 'One Piece: Strong World']",4364
"Kasumigaoka, Utaha",(霞ヶ丘 詩羽),"['Saenai Heroine no Sodatekata', 'Saenai Heroine no Sodatekata: Ai to Seishun no Service-kai', 'Saenai Heroine no Sodatekata ♭', 'Saenai Heroine no Sodatekata', 'Saenai Heroine no Sodatekata', 'Saenai Heroine no Sodatekata: Egoistic-Lily']",4355
"Edward, Newgate",(エドワード・ニューゲート),"['One Piece', 'One Piece Film: Strong World Episode 0', 'One Piece: Cry Heart', 'One Piece', 'One Piece: Strong World', 'One Piece: Episode A']",4345
Crona,(クロナ),"['Soul Eater', 'Soul Eater']",4344
Yukine,(雪音),"['Noragami', 'Noragami OVA', 'Noragami Aragoto', 'Noragami', 'Noragami: Shuuishuu']",4342
Lavi,(ラビ),"['D.Gray-man', 'D.Gray-man Hallow', 'D.Gray-man', 'D.Gray-man: Reverse']",4342
"Kamijou, Touma",(上条 当麻),"['Toaru Majutsu no Index', 'Toaru Majutsu no Index-tan', 'Toaru Majutsu no Index II', 'Toaru Majutsu no Index', 'Toaru Majutsu no Index', 'Shinyaku Toaru Majutsu no Index']",4341
"Toudou, Aoi",(東堂 葵),"['Jujutsu Kaisen', 'Jujutsu Kaisen 0 Movie', 'Jujutsu Kaisen 2nd Season', 'Jujutsu Kaisen']",4336
Dante,(ダンテ),"['Devil May Cry', 'Devil May Cry 3', 'Devil May Cry', 'Devil May Cry 5: Visions of V']",4332
"Nanakusa, Nazuna",(七草 ナズナ),"['Yofukashi no Uta', 'Yofukashi no Uta Mini', 'Yofukashi no Uta 2nd Season', 'Yofukashi no Uta']",4329
"Sengoku, Nadeko",(千石 撫子),"['Bakemonogatari', 'Monogatari Series: Second Season', 'Koyomi History', 'Monogatari Series: First Season', 'Monogatari Series: Second Season', 'Bakemonogatari Short Stories']",4315
Casca,(キャスカ),"['Kenpuu Denki Berserk', 'Berserk: Ougon Jidai-hen I - Haou no Tamago', 'Berserk: Ougon Jidai-hen II - Doldrey Kouryaku', 'Berserk']",4305
Kurama,(蔵馬),"['Yuu☆Yuu☆Hakusho', 'Yuu☆Yuu☆Hakusho (Movie)', 'Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna', 'Yuu☆Yuu☆Hakusho']",4302
"Shinmon, Benimaru",(紅丸 新門),"['Enen no Shouboutai', 'Enen no Shouboutai: Ni no Shou', 'Enen no Shouboutai Mini Anime', 'Enen no Shouboutai']",4300
Fern,(フェルン),"['Sousou no Frieren', 'Sousou no Frieren: ●● no Mahou', 'Sousou no Frieren', 'Sousou no Frieren Anthology: Kotonaru Tabi wo Tanoshimu Mahou']",4278
"Hiruma, Youichi",(蛭魔 妖一),"['Eyeshield 21', 'Eyeshield 21: Maboroshi no Golden Bowl', 'Eyeshield 21: Jump Festa 2005 Special', 'Eyeshield 21', 'Eyeshield 21: Brain x Brave', 'Jump Super Stars']",4255
Bondrewd,(ボンドルド),"['Made in Abyss', 'Made in Abyss Movie 3: Fukaki Tamashii no Reimei', 'Made in Abyss Movie 2: Hourou Suru Tasogare', 'Made in Abyss', 'Made in Abyss: Koushiki Anthology']",4251
"Kaga, Kouko",(加賀 香子),"['Golden Time', 'Golden Time', 'Golden Time']",4249
"Otosaka, Yuu",(乙坂 有宇),"['Charlotte', 'Charlotte: Tsuyoimono-tachi', 'Charlotte the 4-koma: Seishun wo Kakenukero!', 'Charlotte']",4248
"Higashiyama, Kobeni",(東山 コベニ),"['Chainsaw Man', 'Chainsaw Man', 'Chainsaw Man: Buddy Stories']",4244
"Futaba, Rio",(双葉 理央),"['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Seishun Buta Yarou wa Odekake Sister no Yume wo Minai', 'Seishun Buta Yarou wa Logical Witch no Yume wo Minai', 'Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai']",4240
"Oshino, Ougi",(忍野 扇),"['Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin', 'Owarimonogatari', 'Owarimonogatari 2nd Season', 'Monogatari Series: Final Season', 'Monogatari Series: Off Season', 'Monogatari Series: Monster Season']",4221
Happy,(ハッピー),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Tail', 'Fairy Tail x Nanatsu no Taizai Christmas Special', 'Pray for Japan']",4216
Piccolo,(ピッコロ),"['Dragon Ball Z', 'Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!', 'Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu', 'Dragon Ball', 'Cross Epoch', 'Dragon Ball: Ossu! Kaettekita Son Gokuu to Nakama-tachi!!']",4196
"Komatsu, Nana",(小松 奈々),"['Nana', 'Nana']",4187
Black☆Star,(ブラック☆スター),"['Soul Eater', 'Soul Eater NOT!', 'Soul Eater', 'Soul Eater NOT!']",4151
"Khun, Aguero Agnes",(쿤 아게로 아그니스 / クン・アゲロ・アグネス),"['Kami no Tou', 'Kami no Tou 2nd Season', 'Tower of God']",4141
"Ichimaru, Gin",(市丸 ギン),"['Bleach', 'Bleach: The Sealed Sword Frenzy', 'Bleach: Gotei 13 Omake', 'Bleach Unmasked Short Stories', 'Bleach']",4138
"Speedwagon, Robert E. O.",(ロバート・E・O・スピードワゴン),"['JoJo no Kimyou na Bouken (TV)', 'JoJo no Kimyou na Bouken: Phantom Blood Pilot', 'JoJo no Kimyou na Bouken Part 1: Phantom Blood', 'JoJo no Kimyou na Bouken Part 2: Sentou Chouryuu']",4134
"Dian, Isaac",(アイザック・ディアン),"['Baccano!', 'Baccano! Specials', 'Durarara!!', 'Baccano!']",4120
"Kanoe, Yuuko",(庚 夕子),"['Tasogare Otome x Amnesia', 'Tasogare Otome x Amnesia: Taima Otome', 'Tasogare Otome x Amnesia']",4117
"Hitachiin, Hikaru",(常陸院 光),"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",4114
Jinbe,(ジンベエ),"['One Piece', 'One Piece Film: Red', 'One Piece: Dai Gekisen Tokushuu! Mugiwara no Ichimi vs. Tobi Roppou', 'One Piece', 'One Piece: Episode A']",4111
"Stanfield, Claire",(クレア・スタンフィールド),"['Baccano!', 'Baccano! Specials', 'Baccano!', 'Baccano! 1931 The Grand Punk Railroad', 'Baccano!']",4085
"Kise, Ryouta",(黄瀬 涼太),"['Kuroko no Basket: Tip Off', 'Kuroko no Basket: Oshaberi Demo Shimasen ka', 'Kuroko no Basket: Saikou no Present desu', 'Kuroko no Basket: Replace', 'Kuroko no Basket: Extra Game', 'Kuroko no Basket: Replace Plus']",4076
"Ijichi, Nijika",(伊地知 虹夏),"['Bocchi the Rock!', 'Bocchi the Rock! Movie', 'Bocchi the Rock!', 'Bocchi the Rock! Gaiden: Hiroi Kikuri no Fukazake Nikki']",4069
"Kuroba, Kaito",(黒羽 快斗),"['Meitantei Conan Movie 08: Ginyoku no Magician', 'Meitantei Conan OVA 01: Conan vs. Kid vs. Yaiba - Houtou Soudatsu Daikessen!!', 'Meitantei Conan OVA 04: Conan to Kid to Crystal Mother', 'Magic Kaito', 'Meitantei Conan: Konjou no Fist', 'Meitantei Conan: Gouka no Himawari']",4068
"Kuran, Kaname",(玖蘭 枢),"['Vampire Knight', 'Vampire Knight Guilty', 'Vampire Knight: Gekiai no Portrait', 'Vampire Knight', 'Vampire Knight: Memories', 'Vampire Knight: Ice Blue no Tsumi']",4060
"Sakamaki, Izayoi",(逆廻 十六夜),"['Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?', 'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?: Onsen Manyuuki', 'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?', 'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?', 'Mondaiji-tachi ga Isekai kara Kuru Sou desu yo? Z']",4043
"Kotegawa, Chisa",(古手川 千紗),"['Grand Blue', 'Grand Blue']",4025
Mine,(マイン),"['Akame ga Kill!', 'AkaKill! Gekijou', 'Akame ga Kill! Recap', 'Akame ga Kill!', 'Akame ga Kill! 1.5']",4017
"Tomoe, Mami",(巴 マミ),"['Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari', 'Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari', 'Mahou Shoujo Oriko★Magica', 'Mahou Shoujo Madoka★Magica', 'Mahou Shoujo Madoka★Magica']",4000
"Rockbell, Winry",(ウィンリィ・ロックベル),"['Fullmetal Alchemist: Premium Collection', 'Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist']",3981
"Nanase, Haruka",(七瀬 遙),"['Free!', 'Free!: FrFr - Short Movie', 'Free! Eternal Summer', 'High☆Speed!', 'High☆Speed!']",3980
"Shirayuki, Mizore",(白雪 みぞれ),"['Rosario to Vampire', 'Rosario to Vampire Capu2', 'Rosario to Vampire', 'Rosario to Vampire: Season II']",3976
"Armstrong, Alex Louis",(アレックス・ルイ・アームストロング),"['Fullmetal Alchemist', 'Fullmetal Alchemist: The Conqueror of Shamballa', 'Fullmetal Alchemist: Reflections', 'Fullmetal Alchemist']",3967
"Kushieda, Minori",(櫛枝 実乃梨),"['Toradora!', 'Toradora!: SOS! Kuishinbou Banbanzai', 'Toradora!: Bentou no Gokui', 'Toradora!', 'Toradora!', 'Toradora Spin-off!']",3963
"Voldigoad, Anos",(アノス・ヴォルディゴード),"['Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', 'Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', 'Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2', 'Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou', 'Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou']",3962
Twelve,(ツエルブ（久見 冬二）),['Zankyou no Terror'],3958
Clare,(クレア),"['Claymore', 'Claymore']",3954
"Valentine, Funny",(ファニー・ヴァレンタイン),"['JoJo no Kimyou na Bouken Part 7: Steel Ball Run', 'Jorge Joestar']",3953
"Kanroji, Mitsuri",(甘露寺 蜜璃),"['Kimetsu no Yaiba: Katanakaji no Sato-hen', 'Kimetsu no Yaiba', 'Kimetsu no Yaiba Movie: Mugen Ressha-hen', 'Kimetsu no Yaiba', 'Kimetsu no Yaiba Gaiden']",3913
"Asagiri, Gen",(あさぎり ゲン),"['Dr. Stone', 'Dr. Stone: Stone Wars', 'Dr. Stone: New World', 'Dr. Stone']",3900
"Kururugi, Suzaku",(枢木 スザク),"['Code Geass: Hangyaku no Lelouch', 'Code Geass: Hangyaku no Lelouch Picture Drama', 'Code Geass: Hangyaku no Lelouch Recaps', 'Code Geass: Hangyaku no Lelouch', 'Code Geass: Hankou no Suzaku', 'Code Geass: Nightmare of Nunnally']",3900
"Tsukiyomi, Ikuto",(月詠 幾斗),"['Shugo Chara!', 'Shugo Chara!! Doki', 'Shugo Chara! Party!', 'Shugo Chara!', 'Shugo Chara! tte Donna Manga?']",3891
"Souma, Yuki",(草摩 由希),"['Fruits Basket', 'Fruits Basket 1st Season', 'Fruits Basket 2nd Season', 'Fruits Basket']",3878
"Armstrong, Olivier Mira",(オリヴィエ・ミラ・アームストロング),"['Fullmetal Alchemist: Brotherhood', 'Fullmetal Alchemist: Brotherhood - 4-koma Gekijou', 'Fullmetal Alchemist']",3865
Sylphiette,(シルフィエット),"['Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei II: Isekai Ittara Honki Dasu', 'Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz', 'Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei: Isekai Ittara Honki Dasu', 'Mushoku Tensei: 4-koma ni Nattemo Honki Dasu']",3857
"Kazami, Yuuji",(風見 雄二),"['Grisaia no Kajitsu', 'Grisaia no Meikyuu: Caprice no Mayu 0', 'Grisaia no Rakuen', 'Grisaia no Kajitsu: Sanctuary Fellows', ""Grisaia no Kajitsu: L'Oiseau bleu"", 'Grisaia no Meikyuu: Sanctuary Fellows']",3853
Konjiki no Yami,(金色の闇),"['To LOVE-Ru Darkness', 'To LOVE-Ru Darkness OVA', 'To LOVE-Ru Darkness 2nd', 'To LOVE-Ru Darkness', 'To LOVE-Ru', 'To LOVE-Ru Darkness: Little Sisters']",3845
"Toogata, Mirio",(通形 ミリオ),"['Boku no Hero Academia 3rd Season', 'Boku no Hero Academia 4th Season', 'Boku no Hero Academia 5th Season', 'Boku no Hero Academia']",3842
"Yazawa, Niko",(矢澤 にこ),"['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!', 'Love Live!', 'Love Live! School Idol Diary', 'Love Live! School Idol Diary']",3840
"Furuhashi, Fumino",(古橋 文乃),"['Bokutachi wa Benkyou ga Dekinai', 'Bokutachi wa Benkyou ga Dekinai!', 'Bokutachi wa Benkyou ga Dekinai! Chapel no Kane wa [X] wo Shukufuku Suru', 'Bokutachi wa Benkyou ga Dekinai']",3839
"Koga, Tomoe",(古賀 朋絵),"['Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai', 'Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai', 'Seishun Buta Yarou wa Odekake Sister no Yume wo Minai', 'Seishun Buta Yarou wa Petit Devil Kouhai no Yume wo Minai', 'Seishun Buta Yarou Series', 'Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai']",3827
Future Trunks,(未来のトランクス),"['Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin', 'Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen', 'Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu', 'Cross Epoch', 'Dragon Ball', 'Dragon Ball Super']",3807
"Silva, Noelle",(ノエル・シルヴァ),"['Black Clover', 'Petit Clover Advance', 'Black Clover: Jump Festa 2018 Special', 'Black Clover']",3805
"Katsuki, Yuuri",(勝生 勇利),['Yuri!!! on Ice'],3800
"Nakano, Ichika",(中野 一花),"['5-toubun no Hanayome', '5-toubun no Hanayome ∬', '5-toubun no Hanayome Movie', '5-toubun no Hanayome', '5-toubun no Hanayome', 'Anime 5-toubun no Hanayome Novelize']",3792
Hestia,(ヘスティア),"['Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka OVA', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka', 'Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka 4-koma']",3783
"Hyuuga, Neji",(日向 ネジ),"['Naruto: Shippuuden Movie 1', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Road to Ninja: Naruto the Movie']",3778
"Fujibayashi, Kyou",(藤林 杏),"['Clannad', 'Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen', 'Clannad Movie', 'Clannad', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",3770
"Yamauchi, Sakura",(山内 桜良),"['Kimi no Suizou wo Tabetai', 'Kimi no Suizou wo Tabetai', 'Kimi no Suizou wo Tabetai']",3763
Beatrice,(ベアトリーチェ),"['Umineko no Naku Koro ni', 'Umineko no Naku Koro ni Specials', 'Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch', 'Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch', 'Umineko no Naku Koro ni - Episode 4: Alliance of the Golden Witch']",3749
"Harvent, Miria",(ミリア・ハーヴェント),"['Baccano!', 'Baccano! Specials', 'Durarara!!', 'Baccano!']",3744
Neferpitou,(ネフェルピトー ),"['Hunter x Hunter (2011)', 'Hunter x Hunter']",3739
"Fujinuma, Satoru",(藤沼 悟),"['Boku dake ga Inai Machi', 'Boku dake ga Inai Machi Recaps', 'Boku dake ga Inai Machi']",3734
"Sakurazaka, Shiori",(桜坂 詩織),"['Fuufu Ijou, Koibito Miman.', 'Fuufu Ijou, Koibito Miman.']",3730
"Ayase, Chihaya",(綾瀬 千早),"['Chihayafuru', 'Chihayafuru 2', 'Chihayafuru 3', 'Chihayafuru', 'Chihayafuru: Chuugakusei-hen', 'Chihayafuru: Chuugakusei-hen']",3722
Dandy,(ダンディ),"['Space☆Dandy', 'Viva Namida', 'Space☆Dandy 2nd Season', 'Space☆Dandy', 'Ore Space☆Dandy']",3719
"River, Nate",(ネイト・リバー),"['Death Note', 'Death Note: Rewrite', 'Death Note: Tokubetsu-hen', 'Death Note', 'L Change the WorLd']",3713
"Hatori, Chise",(羽鳥 智世),"['Mahoutsukai no Yome: Hoshi Matsu Hito', 'Mahoutsukai no Yome', 'MahoYome: Aisatsu', 'Mahoutsukai no Yome']",3701
"Mista, Guido",(グイード・ミスタ),"['JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps', 'JoJo no Kimyou na Bouken Part 5: Ougon no Kaze', 'JoJo no Kimyou na Bouken II: Golden Heart/Golden Ring', 'Hajishirazu no Purple Haze: JoJo no Kimyou na Bouken yori']",3697
"Yamada, Ryou",(山田 リョウ),"['Bocchi the Rock!', 'Bocchi the Rock! Movie', 'Bocchi the Rock!']",3695
"Kousaka, Kirino",(高坂 桐乃),"['Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai.', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai', 'Ore no Imouto ga Konnani Kawaii Wake ga Nai Comic Anthology']",3681
"Kumagawa, Misogi",(球磨川 禊),"['Medaka Box Abnormal', 'Medaka Box', 'Medaka Box Gaiden: Good Loser Kumagawa', 'Medaka Box: Juvenile - Shousetsuban']",3674
"Anarchy, Stocking",(ストッキング・アナーキー),"['Panty & Stocking with Garterbelt', 'Panty & Stocking in Sanitarybox', 'New Panty & Stocking with Garterbelt', 'Panty & Stocking with Garterbelt', 'Panty & Stocking with Garterbelt']",3639
"Toshinou, Kyouko",(歳納 京子),"['Yuru Yuri', 'Yuru Yuri♪♪', 'Yuru Yuri Nachuyachumi!', 'Yuru Yuri', 'Reset!', 'Oomuro-ke']",3638
Deidara,(デイダラ),"['Naruto', 'Naruto: Shippuuden', 'Naruto SD: Rock Lee no Seishun Full-Power Ninden', 'Naruto', 'Rock Lee no Seishun Full-Power Ninden']",3638
"Sakurasawa, Sumi",(桜沢 墨),"['Kanojo, Okarishimasu: Date Movie', 'Kanojo, Okarishimasu 2nd Season: Date Movie', 'Kanojo, Okarishimasu Petit Special', 'Kanojo, Hitomishirimasu', 'Kanojo, Okarishimasu', 'Kanojo, Okarishimasu: Koushiki Anthology Comic']",3630
"Boa, Hancock",(ボア・ハンコック),"['One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai', 'One Piece', 'One Piece Film: Strong World Episode 0', 'One Piece Novel: Heroines', 'One Piece', 'One Piece: Strong World']",3630
"Ibuki, Fuuko",(伊吹 風子),"['Clannad', 'Clannad: After Story', 'Kaginado', 'Clannad', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",3630
"Ononoki, Yotsugi",(斧乃木 余接),"['Tsukimonogatari', 'Monogatari Series: Off & Monster Season', 'Nisemonogatari', 'Monogatari Series: Final Season', 'Monogatari Series: Off Season', 'Monogatari Series: Monster Season']",3621
"Zuberg, Alice",(アリス・ツーベルク),"['Sword Art Online: Alicization', 'Sword Art Online: Alicization - War of Underworld', 'Sword Art Online: Alicization - War of Underworld Reflection', 'Sword Art Online', 'Sword Art Online: Project Alicization', 'Sword Art Online: Unital Ring']",3612
"Lockser, Juvia",(ジュビア・ロクサー),"['Fairy Tail', 'Fairy Tail OVA', 'Fairy Tail Movie 1: Houou no Miko', 'Fairy Girls', 'Fairy Tail', 'Tale of Fairy Tail: Ice Trail']",3611
Shirayuki,(白雪),"['Akagami no Shirayuki-hime', 'Akagami no Shirayuki-hime 2nd Season', 'Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page', 'Akagami no Shirayuki-hime']",3605
Nezumi,(ネズミ),"['No.6', 'No.6', 'No.6', 'No.6 Beyond']",3604
"Samejima, Mamimi",(サメジマ・マミ美),"['FLCL', 'FLCL', 'FLCL']",3584
Fushi,(不死 (フシ)),"['Fumetsu no Anata e', 'Fumetsu no Anata e Season 2', 'Fumetsu no Anata e Season 3', 'Fumetsu no Anata e']",3579
"Victoria, Seras",(セラス・ヴィクトリア),"['Hellsing', 'Hellsing Ultimate', 'Hellsing: Digest for Freaks', 'Hellsing', 'Hellsing']",3561
"Bachira, Meguru",(蜂楽 廻),"['Blue Lock', 'Blue Lock: Episode Nagi', 'Blue Lock', 'Shousetsu Blue Lock', 'Blue Lock: Episode Nagi']",3555
"Oshino, Meme",(忍野 メメ),"['Bakemonogatari', 'Bakemonogatari Recap', 'Kizumonogatari I: Tekketsu-hen', 'Monogatari Series: First Season', 'Monogatari Series: Final Season', 'Monogatari Series: Off Season']",3554
"Kanda, Yuu",(神田 ユウ),"['D.Gray-man', 'D.Gray-man Hallow', 'D.Gray-man', 'D.Gray-man: Reverse']",3544
"Sarashina, Ruka",(更科 瑠夏),"['Kanojo, Okarishimasu: Date Movie', 'Kanojo, Okarishimasu 2nd Season: Date Movie', 'Kanojo, Okarishimasu', 'Kanojo, Okarishimasu', 'Kanojo, Hitomishirimasu', 'Kanojo, Okarishimasu: Koushiki Anthology Comic']",3530
"Brown, Nicolas",(ニコラス・ブラウン),"['Gangsta.', 'Gangsta. Recap', 'Gangsta.', 'Postman', 'Gangsta:Cursed.: EP_Marco Adriano']",3519
"Kotoishi, Naru",(琴石 なる),"['Barakamon', 'Mijikamon', 'Barakamon']",3514
"Enma, Ai",(閻魔 あい),"['Jigoku Shoujo', 'Jigoku Shoujo Futakomori', 'Jigoku Shoujo Mitsuganae', 'Jigoku Shoujo', 'Shin Jigoku Shoujo', 'Jigoku Shoujo R']",3506
"Stein, Franken",(フランケン シュタイン),"['Soul Eater', 'Soul Eater NOT!', 'Soul Eater', 'Soul Eater NOT!']",3504
"Yaguchi, Yatora",(矢口 八虎),"['Blue Period', 'Blue Period', 'Shousetsu Blue Period', 'Burberry Blue Period']",3500
"Shigaraki, Tomura",(死柄木 弔),"['Boku no Hero Academia: Memories', 'Boku no Hero Academia', 'Boku no Hero Academia 2nd Season', 'Boku no Hero Academia']",3497
"Kurokawa, Akane",(黒川 あかね),"['""Oshi no Ko"" Season 2', '""Oshi no Ko""', '""Oshi no Ko""']",3491
Totoro,(トトロ),"['Tonari no Totoro', 'Mei to Koneko Bus']",3487
"Suou, Mikoto",(周防 尊),"['K', 'K: Seven Stories Movie 1 - R:B - Blaze', 'K: Seven Stories Movie 5 - Memory of Red - Burn', 'K: Memory of Red', 'K Side:Red', 'K: The First']",3484
"Ootori, Kyouya",(鳳 鏡夜),"['Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club', 'Ouran Koukou Host Club Short Special']",3482
"Kurumizawa McDowell, Satanichia",(胡桃沢=サタニキア=マクドウェル),"['Gabriel DropOut', 'Gabriel DropOut Specials', 'Gabriel DropOut']",3477
"Hishiro, Chizuru",(日代 千鶴),"['ReLIFE', 'ReLIFE: Kanketsu-hen', 'ReLIFE']",3459
"Kagari, Atsuko",(アツコ・カガリ),"['Little Witch Academia', 'Little Witch Academia: Mahoujikake no Parade', 'Little Witch Academia (TV)', 'Little Witch Academia: Tsukiyo no Oukan', 'Little Witch Academia', 'Little Witch Academia']",3454
"Lagusa, Angelo",(アヴィリオ・ブルーノ / アンジェロ・ラクーザ),"['91 Days', '91 Days: Mijikai Rousoku', '91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita']",3450
"Niizuma, Eiji",(新妻 エイジ),"['Bakuman.', 'Bakuman. 2nd Season', 'Bakuman. 3rd Season', 'Bakuman.', 'Bakuman. Bangai-hen', 'Bakuman.']",3449
"Joestar, Jonathan",(ジョナサン・ジョースター),"['JoJo no Kimyou na Bouken: Phantom Blood', 'JoJo no Kimyou na Bouken (TV)', 'JoJo no Kimyou na Bouken: Phantom Blood Pilot', 'JoJo no Kimyou na Bouken Part 1: Phantom Blood', ""JoJo's Bizarre Adventure: Over Heaven"", 'Jorge Joestar']",3421
"Tenjou, Utena",(天上 ウテナ),"['Shoujo Kakumei Utena', 'Shoujo Kakumei Utena: Adolescence Mokushiroku', 'Shoujo Kakumei Utena', 'Shoujo Kakumei Utena: Adolescence Mokushiroku', 'Shoujo Kakumei Utena']",3395
"Okazaki, Shinichi",(岡崎 真一),"['Nana', 'Nana']",3388
"Shiratori, Aira",(白鳥 愛羅),"['Dandadan', 'Dandadan']",3371
Kuroyukihime,(黒雪姫),"['Accel World', 'Accel World: Acchel World.', 'Accel World EX', 'Accel World', 'Accel World', 'Acchel World.']",3366
"Baji, Keisuke",(場地 圭介),"['Tokyo Revengers', 'Chibi Revenger', 'Tokyo Revengers: Seiya Kessen-hen', 'Tokyo卍Revengers: Baji Keisuke kara no Tegami', 'Tokyo卍Revengers']",3364
"Takasugi, Shinsuke",(高杉 晋助),"['Gintama.', 'Gintama', 'Gintama: Shiroyasha Koutan', 'Gintama', 'Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare']",3359
Uta,(ウタ),"['Tokyo Ghoul', 'Tokyo Ghoul √A', 'Tokyo Ghoul:re', 'Tokyo Ghoul', 'Tokyo Ghoul:re']",3349
"Furukawa, Akio",(古河秋生),"['Clannad Movie', 'Clannad', 'Clannad: After Story', 'Clannad 4-koma Manga Gekijyou', 'Clannad: Hikaru Mimamoru Sakamichi de']",3343
Yin,(銀),"['Darker than Black: Kuro no Keiyakusha', 'Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita', 'Darker than Black: Kuro no Keiyakusha Gaiden', 'Darker than Black: Shikkoku no Hana', 'Darker than Black: Kuro no Keiyakusha']",3326
"Chouno, Hina",(蝶野 雛),"['Ao no Hako', 'Ao no Hako']",3319
"Wolfwood, Nicholas D.",(ニコラス・D・ウルフウッド),"['Trigun', 'Trigun: Badlands Rumble', 'Trigun Stampede', 'Trigun', 'Trigun Maximum', 'Trigun: Multiple Bullets']",3297
